addressnbr,addressline1,city,state,zip,streetaddress,lat,lng,tradename,owner,phone,county
19210,W BELLFORT STREET,RICHMOND,TX,77407,19210 W BELLFORT STREET,29.6765503,-95.71251783,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #092 SFP,SPEC'S FAMILY PARTNERS LTD.,,Fort Bend
6816,SLIDE ROAD SUITE 12,LUBBOCK,TX,79424-1535,6816 SLIDE ROAD SUITE 12,33.531718,-101.9242519,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #107 SFP LTD.,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Lubbock
3404,N CENTRAL EXPRESSWAY #100,PLANO,TX,75074,3404 N CENTRAL EXPRESSWAY #100,33.0416185,-96.7003338,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #141 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Collin
3606,LOY LAKE ROAD,SHERMAN,TX,75090,3606 LOY LAKE ROAD,33.6755987,-96.6072033,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #143,SPEC'S FAMILY PARTNERS LTD.,,Grayson
2750,S HULEN STREET,FORT WORTH,TX,76109,2750 S HULEN STREET,32.7116352,-97.3867039,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #154 SFP LTD.,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Tarrant
9034,SIENNA CROSSING DRIVE,MISSOURI CITY,TX,77459,9034 SIENNA CROSSING DRIVE,29.52571355,-95.53301008,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #176 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Fort Bend
2700,HWY 83W BUILDING 200 SUITE 200,MCALLEN,TX,78501,2700 HWY 83W BUILDING 200 SUITE 200,26.21580227,-98.23916652,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #177 SPF DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Hidalgo
13530,RONALD REAGAN BOULEVARD,CEDAR PARK,TX,78613,13530 RONALD REAGAN BOULEVARD,30.53711,-97.7830385,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #179 SFP,SPEC'S FAMILY PARTNERS LTD.,,Williamson
24527,GOSLING ROAD SUITE C101,SPRING,TX,77389,24527 GOSLING ROAD SUITE C101,30.1220879,-95.5069306,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #186 SFP,SPEC'S FAMILY PARTNERS LTD.,,Harris
535,AMERICAN WAY,TERRELL,TX,75160,535 AMERICAN WAY,32.76167423,-96.30015544,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #187 SFP,SPEC'S FAMILY PARTNERS LTD.,,Kaufman
2003,LOOP 1604 NORTH EAST SUITE 111,SAN ANTONIO,TX,78232,2003 LOOP 1604 NORTH EAST SUITE 111,29.58814141,-98.4748343,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #188 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Bexar
9733,BUFFALO SPEEDWAY,HOUSTON,TX,77025,9733 BUFFALO SPEEDWAY,29.68029969,-95.42639895,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #189,SPEC'S FAMILY PARTNERS LTD.,,Harris
23611,HWY 59 SUITE 500,PORTER,TX,77365,23611 HWY 59 SUITE 500,30.11098557,-95.2340197,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #192 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Montgomery
1113,E AUSTIN STREET,GIDDINGS,TX,78942,1113 E AUSTIN STREET,30.18098445,-96.92622572,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #193,SPEC'S FAMILY PARTNERS LTD.,,Lee
2500,E CENTRAL TEXAS EXPRESSWAY,KILLEEN,TX,76543,2500 E CENTRAL TEXAS EXPRESSWAY,31.08805706,-97.72001239,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #75,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bell
17414,NW FREEWAY,JERSEY VILLAGE,TX,77040,17414 NW FREEWAY,29.87441983,-95.52782052,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR STORE #19 SFP,SPEC'S FAMILY PARTNERS LTD.,713-983-8827,Harris
5219,DEZAVALA ROAD #100,SAN ANTONIO,TX,78249,5219 DEZAVALA ROAD #100,29.56360715,-98.58983266,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #100,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bexar
24417,KATY FREEWAY,KATY,TX,77494,24417 KATY FREEWAY,29.74327083,-95.82859727,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #139 SFP,SPEC'S FAMILY PARTNERS LTD.,,Harris
24940,FM 1093,RICHMOND,TX,77406,24940 FM 1093,29.6435502,-95.79798188,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #140 SFP DISTR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Fort Bend
4720,BRYANT IRVIN ROAD,FORT WORTH,TX,76132,4720 BRYANT IRVIN ROAD,32.6801381,-97.416086,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #160 SFP,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Tarrant
14650,WOODFOREST BOULEVARD,HOUSTON,TX,770153144,14650 WOODFOREST BOULEVARD,29.79054764,-95.16202175,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #20 SFP,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris
5775,AIRPORT BOULEVARD SUITE 100,AUSTIN,TX,78752,5775 AIRPORT BOULEVARD SUITE 100,30.322172,-97.7138249,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #60 SFP,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Travis
1640,S MASON ROAD,KATY,TX,774504563,1640 S MASON ROAD,29.75897903,-95.75168507,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #8 CHEAP CHEEP,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris
655,SUNLAND PARK SUITE F,EL PASO,TX,79912,655 SUNLAND PARK SUITE F,31.81987962,-106.5405316,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #94,SPEC'S FAMILY PARTNERS LTD.,832-660-0250,El Paso
263,CREEKSIDE CROSSING,NEW BRAUNFELS,TX,78130,263 CREEKSIDE CROSSING,29.7247594,-98.0742153,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS & BEERS #106,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Comal
1013,W UNIVERSITY AVENUE '200',GEORGETOWN,TX,78628,1013 W UNIVERSITY AVENUE '200',30.6313662,-97.6938364,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS GEORGETOWN,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Williamson
17996,FM 529,CYPRESS,TX,77095,17996 FM 529,29.8805167,-95.6827978,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S WINES & SPIRITS SPEC'S,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Harris
7034,FM 1960 EAST,HUMBLE,TX,77346,7034 FM 1960 EAST,29.99830376,-95.1744796,SPEC'S WINES SPIRITS & FINER FOODS/ SPEC'S CIGARS/SPEC'S LIQUOR,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris
5130,RICHMOND AVENUE,HOUSTON,TX,77056,5130 RICHMOND AVENUE,29.73178103,-95.46496821,SPEC'S WINES SPIRITS & FINER FOODS/ SPEC'S WINES SPIRITS & CIGAR,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris
5876,EASTEX FREEWAY,BEAUMONT,TX,77708,5876 EASTEX FREEWAY,30.12662214,-94.1558657,SPEC'S WINES SPIRITS & FINER FOODS/AJ'S DISCOUNT LIQUOR,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Jefferson
5108,N NAVARRO STREET,VICTORIA,TX,77904,5108 N NAVARRO STREET,28.84275589,-96.99951908,SPEC'S WINES SPIRITS AND FINER FOODS & CIGARS SPEC'S LIQUORS #67,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Victoria
13015,SHOPS PARKWAY,BEE CAVE,TX,78738,13015 SHOPS PARKWAY,30.3075926,-97.9459133,SPEC'S WINES SPIRITS AND FINER FOODS SPEC'S IN BEE CAVE #65,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8781,Travis
1420,LOOP 336 WEST #100,CONROE,TX,77304,1420 LOOP 336 WEST #100,30.32952176,-95.51412277,SPEC'S WINES SPIRITS CIGARS & FINER FOOD SPEC'S WINES SPIRITS &,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Montgomery
5418,HWY 6S #116,MISSOURI CITY,TX,77459,5418 HWY 6S #116,29.52571355,-95.53301008,SPEC'S WINES SPIRITS-RIVERSTONE SPEC'S LIQUORS #47,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Fort Bend
11751,BANDERA ROAD,SAN ANTONIO,TX,78250,11751 BANDERA ROAD,29.5495494,-98.6694922,"SPEC'S WINES, SPIRITS & FINER FOODS, SPEC'S LIQUORS #113, SFP",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bexar
4970,HWY 290W BUILDING 6 UNIT,AUSTIN,TX,78735,4970 HWY 290W BUILDING 6 UNIT,30.26591098,-97.8665976,"SPEC'S WINES, SPIRITS & FINER FOODS, SPEC'S ON BRODIE, SPEC'S",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Travis
1434,S VALLEY MILLS DRIVE,BEVERLY HILLS,TX,76711,1434 S VALLEY MILLS DRIVE,31.5260685,-97.1439343,SPECS WINE SPIRITS & FINER FOODS SPEC'S #73 & BAD BEAR LIQUOR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,McLennan
166,HARGRAVES SUITE B-400,AUSTIN,TX,78737,166 HARGRAVES SUITE B-400,30.18748052,-97.95972131,SPECS WINE SPIRITS & FINER FOODS SPECS LIQUOR #027,SPEC'S FAMILY PARTNERS LTD.,832-660-0250,Hays
6603,SPRING STUEBNER ROAD SUITE 135,SPRING,TX,77389,6603 SPRING STUEBNER ROAD SUITE 135,30.11528294,-95.50760887,"SPECS WINES, SPIRITS & FINER FOODS, SPEC'S LIQUOR #89 SFP",SFP DISTRIBUTION LLC,,Harris
8108,MARTIN LUTHER KING BOULEVARD,HOUSTON,TX,77033,8108 MARTIN LUTHER KING BOULEVARD,29.6656967,-95.3376481,SPECY LIQUOR,"PHAM, GINA",713-738-4821,Harris
7412,HWY 78,SACHSE,TX,75048,7412 HWY 78,32.97201789,-96.58087959,SPEEDY LIQUOR,JASON & SAI CORP.,,Collin
6769,SPENCER HWY,PASADENA,TX,77505,6769 SPENCER HWY,29.66355581,-95.13489719,SPENCER DISCOUNT LIQUOR & TOBACCO,BAY AREA LIQUORS INC.,281-479-1774,Harris
4617,S WESTERN STREET,AMARILLO,TX,79109-6013,4617 S WESTERN STREET,35.1602222,-101.8833465,SPIRIT EMPORIUM,SPIRIT EMPORIUM INCORPORATED,806-355-0722,Randall
37129,FM 1774 SUITE A,PINEHURST,TX,77362,37129 FM 1774 SUITE A,30.15819165,-95.66847978,SPIRIT OUTLET LIQUOR,KHALIL CHILDREN 2002 GIFT TRUST,832-934-2759,Montgomery
10601,FM 2222 SUITE F,AUSTIN,TX,78730,10601 FM 2222 SUITE F,30.3931208,-97.8439719,SPIRIT WINE & LIQUOR,HI-BARR LLC,512-704-6800,Travis
11215,IH 35S #108,AUSTIN,TX,78747,11215 IH 35S #108,30.12653312,-97.740151,SPIRIT WINE & LIQUOR,HI-BARR LLC,512-704-6800,Travis
1551,IH 35 SOUTH,GLENN HEIGHTS,TX,75154,1551 IH 35 SOUTH,32.52277633,-96.81010742,SPIRITS DEPOT,GLENN HEIGHTS INVESTMENTS INC.,972-274-1080,Dallas
6285,HWY 6 SOUTH,HOUSTON,TX,77083,6285 HWY 6 SOUTH,29.70959144,-95.64403937,SPIRITS LIQUOR,6285 CN CORPORATION,281-530-3004,Harris
2503,HWY 16 NORTH SUITE B,STRAWN,TX,76475-9999,2503 HWY 16 NORTH SUITE B,32.65905839,-98.4988811,SPIRITS OF HELLS GATE,THE STRAWN STORE INC.,,Palo Pinto
1107,CYPRESS STREET,BANDERA,TX,78003,1107 CYPRESS STREET,29.72375252,-99.07163207,SPIRITS OF TEXAS,COWBOY HAVEN LLC,936-366-9015,Bandera
11334,HWY 287 WEST,PENNINGTON,TX,75856,11334 HWY 287 WEST,31.20658696,-95.27891021,SPITFIRE LIQUOR STORE,LUCKY NAVID CORPORATION,(936) 638-2027,Trinity
115,LITTLE YORK,HOUSTON,TX,77076,115 LITTLE YORK,29.8694205,-95.3994119,SPORTSMAN LIQUOR,RADHE ENTERPRISE INC.,713-699-0316,Harris
499,W CHAPMAN DRIVE SUITE 102,SANGER,TX,76266,499 W CHAPMAN DRIVE SUITE 102,33.36719239,-97.17363614,SPORTSMAN LIQUOR,SPORTSMAN INDUSTRY INC.,817-266-6663,Denton 
17590,KUYKENDAHL ROAD,SPRING,TX,77379,17590 KUYKENDAHL ROAD,30.02877784,-95.47934888,SPRING DISCOUNT LIQUOR,SHLN CORPORATION,281-353-6279,Harris
3410,FM 2920 SUITE 100,SPRING,TX,77388,3410 FM 2920 SUITE 100,30.0710308,-95.4698716,SPRING LIQUOR MEADOWHILL,C-GARCIA SPIRITS LLC,281-288-2750,Harris
2323,N MAIN STREET,JUNCTION,TX,76849,2323 N MAIN STREET,30.50331291,-99.77834693,SPURS LIQUOR,D & D MURRAH LLC,325-660-8871,Kimble
1701,S BRAHMA BOULEVARD SUITE D,KINGSVILLE,TX,78363-6877,1701 S BRAHMA BOULEVARD SUITE D,27.50152541,-97.85601115,SQUIRRELY'S LIQUOR,SQUIRRELY'S LIQUOR LLC,361-595-1818,Kleberg
10566,W UNIVERSITY BOULEVARD,ODESSA,TX,79764-9001,10566 W UNIVERSITY BOULEVARD,31.84132162,-102.4999826,SS LIQUOR,MS LIQUOR INC.,432-381-0455,Ector
3807,FM 1765,LA MARQUE,TX,77568,3807 FM 1765,29.3782488,-94.9993548,STACKS LIQUOR,"MCKINNEY, FELICIA FAY",409-935-2788,Galveston
831,E STANFORD STREET,ARLINGTON,TX,76011,831 E STANFORD STREET,32.75424071,-97.0825657,STADIUM LIQUOR,MILY HOLDING LLC,817-275-3124,Tarrant
2520,TEXOMA PARKWAY,SHERMAN,TX,75090,2520 TEXOMA PARKWAY,33.6665315,-96.596709,STAR LIQUOR,LAMAR LIQUOR LLC,469-734-1265,Grayson
4340,HARRY HINES BOULEVARD SUITE B,DALLAS,TX,75219,4340 HARRY HINES BOULEVARD SUITE B,32.8057,-96.8253,STAR LIQUOR,STAR LIQUOR INC,,Dallas
5316,SW PARKWAY,WICHITA FALLS,TX,76310,5316 SW PARKWAY,33.79874725,-98.51105237,STAR LIQUOR,"WONG, JAMES M",940-500-4078,Wichita
12710,S KIRKWOOD ROAD SUITE B,STAFFORD,TX,774773810,12710 S KIRKWOOD ROAD SUITE B,29.6354936,-95.5811678,STAR LIQUOR,RAMRATAN INC.,(281) 277-5225,Fort Bend
11734,BARKER CYPRESS ROAD SUITE 104,CYPRESS,TX,77433,11734 BARKER CYPRESS ROAD SUITE 104,29.9456243,-95.6755096,STAR LIQUOR,MICHELLE LAM CORPORATION,281-855-1276,Harris
6322,FM 78 SUITE 124,SAN ANTONIO,TX,78244,6322 FM 78 SUITE 124,29.4786231,-98.36253,STAR LIQUOR #1,YAE LLC,210-310-2594,Bexar
460,N LAMAR STREET SUITE 300,DALLAS,TX,75202,460 N LAMAR STREET SUITE 300,32.78175541,-96.80497507,STAR LIQUOR BEER & WINE,400 SLBW LLC,682-472-5826,Dallas
5145,FM 620 NORTH SUITE L130,AUSTIN,TX,78732,5145 FM 620 NORTH SUITE L130,30.38982958,-97.88135111,STEINER RANCH LIQUOR,OMARSON INC.,(512) 266-0234,Travis
1315,E 1ST STREET SUITE A,HUMBLE,TX,77338,1315 E 1ST STREET SUITE A,29.9995246,-95.2528599,STEVE'S LIQUOR,TRINH TRAN LLC,281-446-0996,Harris
7101,HWY 71W BUILDING A11,AUSTIN,TX,78735,7101 HWY 71W BUILDING A11,30.26591098,-97.8665976,STEVE'S LIQUOR,HIGH STREAM INVESTMENTS LLC,512-288-4590,Travis
2425,EXPOSITION BOULEVARD 'B',AUSTIN,TX,78703,2425 EXPOSITION BOULEVARD 'B',30.2974589,-97.7671381,STEVE'S LIQUOR & FINE WINES,HIGH STREAM INVESTMENTS LLC,512-476-8082,Travis
2101,N RAUL LONGORIA,SAN JUAN,TX,78589,2101 N RAUL LONGORIA,26.16785128,-98.15483749,STEVE'S LIQUOR HOUSE,"REGALADO, ESTEBAN",956-821-9116,Hidalgo
1030,E CALIFORNIA STREET,GAINESVILLE,TX,762404910,1030 E CALIFORNIA STREET,33.62413657,-97.13450206,STILL ON THE CORNER INC.,STILL ON THE CORNER INC.,(940) 665-9000,Cooke
1842,FM 407E SUITE 2,BARTONVILLE,TX,76226,1842 FM 407E SUITE 2,33.11028807,-97.16936854,STIR UPS LIQUOR,DOUGLASS DISTRIBUTING RETAIL CO.,940-584-0380,Denton 
2424,NE 28TH STREET,FORT WORTH,TX,76106,2424 NE 28TH STREET,32.79504059,-97.32662874,STOCKYARDS LIQUOR & WINE,SAMBRIDHI TRADER LLC,,Tarrant
19202,STONE OAK PARKWAY SUITE 107,SAN ANTONIO,TX,78258-3287,19202 STONE OAK PARKWAY SUITE 107,29.62728,-98.494475,STONE OAK LIQUOR,WOLFIE TRADING LLC,210-404-1166,Bexar
14405,FM 2100 SUITE I,CROSBY,TX,77532,14405 FM 2100 SUITE I,29.8955926,-95.0638797,STONEFIELD LIQUOR,ARNAV SHAH LLC,,Harris
1406,W FAIRMONT PARKWAY,LA PORTE,TX,77571,1406 W FAIRMONT PARKWAY,29.65219309,-95.03255602,STONEFIELD LIQUOR,AMIN & AMIN 2015 LLC,,Harris
13514,E TIDWELL SUITE 500,HOUSTON,TX,77044,13514 E TIDWELL SUITE 500,29.85312592,-95.19187958,STONEFIELD LIQUOR,AMIN & AMIN 2015 LLC,281-458-5503,Harris
3535,CLEAR LAKE CITY BLVD STE 200,HOUSTON,TX,77059,3535 CLEAR LAKE CITY BLVD STE 200,29.60766206,-95.12488828,STONEFIELD LIQUOR,DALIA & DALIA LLC,832-630-2287,Harris
4801,WILSON ROAD SUITE 1000,HUMBLE,TX,77396,4801 WILSON ROAD SUITE 1000,29.9368522,-95.2490751,STONEFIELD LIQUOR & DISCOUNT TOBACCO,LIQUOR @ WILSON ROAD INC.,,Harris
12161,HWY 105 EAST SUITE A,PLANTERSVILLE,TX,77363,12161 HWY 105 EAST SUITE A,30.3292941,-95.85383134,STONEHAM LIQUOR,BARKAAT INVESTMENTS INC.,936-894-2424,Grimes
151,EASTGATE PLAZA SUITE 8,BELLMEAD,TX,76705,151 EASTGATE PLAZA SUITE 8,31.62654889,-97.09606344,STONEY'S LIQUOR - BELLMEAD,FALLS CAPITAL INC.,,McLennan
227,N MILAM,CAMERON,TX,76520,227 N MILAM,30.85130768,-96.9736486,STONEY'S LIQUOR - CAMERON,FALLS CAPITAL INC.,,Milam
609,S KEY AVENUE,LAMPASAS,TX,76550,609 S KEY AVENUE,31.06236967,-98.18106153,STONEY'S LIQUOR - LAMPASAS,FALLS CAPITAL INC.,512-564-1650,Lampasas
20212,EVA STREET SUITE 240,MONTGOMERY,TX,77356,20212 EVA STREET SUITE 240,30.45051562,-95.70179645,STONEY'S LIQUOR - MONTGOMERY,FALLS CAPITAL INC.,,Montgomery
1529,W CAMERON AVENUE,ROCKDALE,TX,76567-2606,1529 W CAMERON AVENUE,30.64593122,-97.02339161,STONEY'S LIQUOR - ROCKDALE,FALLS CAPITAL INC.,,Milam
1058,E AUSTIN,GIDDINGS,TX,78942,1058 E AUSTIN,30.18105784,-96.92769821,STONEY'S LIQUOR-GIDDINGS,FALLS CAPITAL INC.,254-803-9636,Lee
879,N MARKET STREET,HEARNE,TX,77859,879 N MARKET STREET,30.88999517,-96.59946505,STONEY'S LIQUOR-HEARNE,FALLS CAPITAL INC.,254 803 9636,Robertson
7224,W FUQUA STREET SUITE B,HOUSTON,TX,77489,7224 W FUQUA STREET SUITE B,29.59939,-95.4947973,STUDIO 2000 LIQUOR LLC,STUDIO 2000 LIQUOR LLC,,Fort Bend
13071,W LAKE HOUSTON PARKWAY,HOUSTON,TX,770445391,13071 W LAKE HOUSTON PARKWAY,29.92480736,-95.18837941,SUMMERWOOD LIQUOR,V & H INC.,(281) 458-8505,Harris
5909,SCOTT STREET SUITE E,HOUSTON,TX,77021,5909 SCOTT STREET SUITE E,29.704078,-95.3581977,SUN LIQUOR,"DUONG, LARRY LINH",713-741-6119,Harris
4200,VICTORY DRIVE,MARSHALL,TX,75672,4200 VICTORY DRIVE,32.53893151,-94.31912757,SUNDOWN LIQUOR #1,JSM BUSINESS INC.,903-938-2834,Harrison
826,N HENDERSON BOULEVARD,KILGORE,TX,75662,826 N HENDERSON BOULEVARD,32.38398489,-94.87015023,SUNDOWN LIQUOR #2,KVS BUSINESS INC.,903-984-6276,Gregg
8840,WILL CLAYTON PARKWAY SUITE H,HUMBLE,TX,77338,8840 WILL CLAYTON PARKWAY SUITE H,29.97898955,-95.25355499,SUNNY LIQUOR,SUKHREEN INVESTMENTS INC.,,Harris
12315,FM 1960E SUITE B,HUFFMAN,TX,77336,12315 FM 1960E SUITE B,30.0643148,-95.09883936,SUNNY LIQUOR,SUKHREEN INVESTMENTS INC.,(832) 595-9275,Harris
8923,CULEBRA ROAD SUITE I,SAN ANTONIO,TX,78251,8923 CULEBRA ROAD SUITE I,29.46221186,-98.67602938,SUNNY LIQUOR,MGR STORES INC.,(210) 231-0355,Bexar
5603,HWY 67 EAST,ALVARADO,TX,76009,5603 HWY 67 EAST,32.408227,-97.26219788,SUNNY'S LIQUOR,SBGJ INVESTMENTS INC.,,Johnson
2356,W ALABAMA STREET,HOUSTON,TX,77098,2356 W ALABAMA STREET,29.73861634,-95.41562453,SUNNY'S LIQUOR & DISCOUNT TOBACCO,BLESS BUSINESS INC.,(713) 526-7391,Harris
704,MAIN,SUNRAY,TX,79086,704 MAIN,36.01660505,-101.8246662,SUNRAY LIQUOR,"MENDOZA, ARNOLDO",806-948-5281,Moore
100,S HARBORTH AVENUE,THREE RIVERS,TX,78071-1835,100 S HARBORTH AVENUE,28.46951754,-98.22427756,SUNSET LIQUOR,D.Z. INC.,361-786-2204,Live Oak
705,HWY 87 NORTH,NEWTON,TX,75966,705 HWY 87 NORTH,30.83520734,-93.72840006,SUNSHINE LIQUOR,SOLLEY'S INC.,(409) 379-4837,Newton
2223,NEDERLAND AVENUE,NEDERLAND,TX,776276043,2223 NEDERLAND AVENUE,29.96676422,-93.99622235,SUNSHINE LIQUOR,SHAILA INTERNATIONAL INC.,409-724-0721,Jefferson
1711,9TH STREET,WICHITA FALLS,TX,76301,1711 9TH STREET,33.90369334,-98.50389948,SUPER 9 LIQUOR,"LIM, MENG",940-766-5557,Wichita
2950,WALNUT HILL LANE,DALLAS,TX,75229,2950 WALNUT HILL LANE,32.8806,-96.8791,SUPER BY-LO,HAI YEN CORPORATION,(214) 352-2949,Dallas
700,CULVER STREET,COMMERCE,TX,75428,700 CULVER STREET,33.23603931,-95.89082565,SUPER STOP DISCOUNT LIQUOR,OMSHARAN LLC,903-818-4458,Hunt
12347,FONDREN ROAD,HOUSTON,TX,77035,12347 FONDREN ROAD,29.64345457,-95.50821263,SW LIQUOR & WINE,TSJ SPIRITS INC.,713-729-2377,Harris
6812,FM 1765,TEXAS CITY,TX,77591,6812 FM 1765,29.378959,-94.9871465,SWIZZLE LIQUOR,AARN SAIJALA CORP.,409-938-1100,Galveston
9902,HOMESTEAD ROAD,HOUSTON,TX,77016,9902 HOMESTEAD ROAD,29.8548779,-95.3000454,T LIQUOR,T LIQUOR CORP.,713-631-2727,Harris
14682,WALLISVILLE ROAD,HOUSTON,TX,77049,14682 WALLISVILLE ROAD,29.80557133,-95.18781516,T'S LIQUOR,"LIM, JAY",832-830-8957,Harris
2709,KATY FLEWELLEN ROAD 'A',KATY,TX,77494-5425,2709 KATY FLEWELLEN ROAD 'A',29.7498399,-95.8351611,T. G. FOOD MART & LIQUOR,T. G. FOOD MART & LIQUOR INC.,281-392-5892,Fort Bend
2000,ILLINOIS STREET SUITE B,NEW FAIRVIEW,TX,76078,2000 ILLINOIS STREET SUITE B,33.09827384,-97.40784594,TAKE-A-BREAK LIQUOR,NEW GALAXY VENTURE LLC,817-636-2552,Wise
2680,DENTON TAP ROAD SUITE 111,LEWISVILLE,TX,75067,2680 DENTON TAP ROAD SUITE 111,32.9978556,-96.9937707,TAPS LIQUOR 1,BAMA FORTUNE INC,469-464-3635,Denton 
7001,CONFEDERATE PARK ROAD,FORT WORTH,TX,76108,7001 CONFEDERATE PARK ROAD,32.82271287,-97.50951522,TARRANT LIQUOR,TARRANT LIQUOR INC.,,Tarrant
5250,N TARRANT PARKWAY SUITE 110,FORT WORTH,TX,76137,5250 N TARRANT PARKWAY SUITE 110,32.8947185,-97.27123186,TARRANT LIQUOR INC,TARRANT LIQUOR INC.,817-832-5097,Tarrant
470,HWY 137 SOUTH,BIG LAKE,TX,76932,470 HWY 137 SOUTH,31.19498313,-101.4672234,TATER'S HOUSE,"HARRISON, THERESA LYNN (ET AL)",785-221-6862,Reagan
1016,W 2ND STREET,TAYLOR,TX,765742429,1016 W 2ND STREET,30.568127,-97.420818,TAYLOR LIQUOR,AUSKO LLC,(512) 352-7385,Williamson
3454,HWY 96 NORTH,SILSBEE,TX,77656-7627,3454 HWY 96 NORTH,30.35680006,-94.12896446,TEJAS LIQUOR #2,TRIPPLE S INNOVATION LLC,409-385-6880,Hardin
1779,WELLS BRANCH PARKWAY SUITE 111,AUSTIN,TX,78728,1779 WELLS BRANCH PARKWAY SUITE 111,30.4352406,-97.6742898,TEJAS LIQUOR #3,KASHIV INC.,512 358 9800,Travis
3322,FM 92 UNIT 2,SILSBEE,TX,77656-8026,3322 FM 92 UNIT 2,30.41587723,-94.17206414,TEJAS LIQUOR #3,TRIPPLE S INNOVATION LLC,409-385-4420,Hardin
2890,WASHINGTON BOULEVARD,BEAUMONT,TX,77705-1457,2890 WASHINGTON BOULEVARD,30.0561775,-94.1149747,TEJAS LIQUOR #4,TRIPPLE S INNOVATION LLC,,Jefferson
235,TEXAS AVENUE,BRIDGE CITY,TX,77611,235 TEXAS AVENUE,30.01692398,-93.85056067,TEJAS LIQUOR #5,TRIPPLE S INNOVATION LLC,409-735-2847,Orange
457,N LHS DRIVE,LUMBERTON,TX,77657,457 N LHS DRIVE,30.2255764,-94.19611229,TEJAS LIQUOR #6,TRIPPLE S INNOVATION LLC,,Hardin
4700,HWY 365 SUITE P,PORT ARTHUR,TX,77642,4700 HWY 365 SUITE P,29.93918263,-93.91596297,TEJAS LIQUOR #7,TRIPPLE S INNOVATION LLC,,Jefferson
630,S PINE STREET,KOUNTZE,TX,77625-7721,630 S PINE STREET,30.37573484,-94.37897212,TEJAS LIQUOR BOTTLE & SMOKE SHOP,TRIPPLE S INNOVATION LLC,409-246-2085,Hardin
5601,W MILE 3 SUITE C,MISSION,TX,78574,5601 W MILE 3 SUITE C,26.31892959,-98.3700597,TEKILAS LIQUOR STORE,"GONZALEZ, CYNTHIA (ET AL)",956-519-3268,Hidalgo
