addressnbr,addressline1,city,state,zip,streetaddress,tradename,owner,phone,county,shortname,oldlat,oldlng,lat,lng
6065,LOOP 410 NORTHWEST SUITE 108,SAN ANTONIO,TX,78238,6065 LOOP 410 NORTHWEST SUITE 108,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S LIQUOR #171,SPEC'S FAMILY PARTNERS LTD.,,Bexar,SPECS,29.47139614,-98.61824034,29.4758,-98.6122
3100,7TH STREET SUITE A,BAY CITY,TX,77414,3100 7TH STREET SUITE A,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S LIQUOR #172 SFP DIST,SPEC'S FAMILY PARTNERS LTD.,832-660-0250,Matagorda,SPECS,28.98328874,-95.95206121,28.98328874,-95.95206121
8505,LAKEVIEW PARKWAY SUITE 320,ROWLETT,TX,75088,8505 LAKEVIEW PARKWAY SUITE 320,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S LIQUOR #174,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Dallas,SPECS,32.91451426,-96.52370531,32.9182,-96.5197
8110,HWY 78,SACHSE,TX,75048,8110 HWY 78,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S LIQUOR #175 SFP DIST,SPEC'S FAMILY PARTNERS LTD.,,Collin,SPECS,32.9922765,-96.5684295,32.9923,-96.5684
4901,HWY 121,THE COLONY,TX,75056,4901 HWY 121,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S LIQUOR THE COLONY,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Denton ,SPECS,33.06957227,-96.88194668,33.0692,-96.884
3588,FM 1488,CONROE,TX,77384,3588 FM 1488,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S LIQUORS #33,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Montgomery,SPECS,30.23414064,-95.48610632,30.2287,-95.519
1600,EASTCHASE PARKWAY,FORT WORTH,TX,76120,1600 EASTCHASE PARKWAY,SPEC'S WINE SPIRITS & FINER FOODS SPEC'S WHOLESALE LIQUORS #155,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Tarrant,SPECS,32.7565044,-97.1702464,32.7565,-97.17
3909,S COOPER STREET,ARLINGTON,TX,76015,3909 S COOPER STREET,"SPEC'S WINE SPIRITS & FINER FOODS, SPEC'S LIQUORS #165, SFP, LTD",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Tarrant,SPECS,32.6820752,-97.1328656,32.682,-97.1328
9900,IH 35 SERVICE ROAD SOUTH,AUSTIN,TX,78748,9900 IH 35 SERVICE ROAD SOUTH,SPEC'S WINE SPIRITS & FINER FOODS-SPEC'S #64,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Travis,SPECS,30.16535457,-97.82345358,30.1579,-97.7943
900,E HARWOOD ROAD,EULESS,TX,76039,900 E HARWOOD ROAD,SPEC'S WINE SPIRITS AND FINE FOODS SPECS LIQUOR #170,SPEC'S FAMILY PARTNERS LTD.,,Tarrant,SPECS,32.85159486,-97.068317,32.85159486,-97.068317
5625,S PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,5625 S PADRE ISLAND DRIVE,SPEC'S WINE SPIRITS AND FINER FOODS SPEC'S #68,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Nueces,SPECS,27.70715408,-97.37010198,27.706,-97.3701
3902,BISSONNET,HOUSTON,TX,77005,3902 BISSONNET,SPEC'S WINE SPIRITS AND FINER FOODS SPEC'S #71,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Harris,SPECS,29.72247001,-95.43902017,29.7229,-95.4396
739,HWY 71 WEST SUITE F,BASTROP,TX,78602,739 HWY 71 WEST SUITE F,SPEC'S WINE SPIRITS AND FINER FOODS SPEC'S LIQUOR #38,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bastrop,SPECS,30.1146172,-97.3526818,30.1146,-97.3528
3550,S GENERAL BRUCE DRIVE SUITE,TEMPLE,TX,76504,3550 S GENERAL BRUCE DRIVE SUITE,SPEC'S WINE SPIRITS AND FINER FOODS SPEC'S LIQUOR #66 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bell,SPECS,31.09304352,-97.38284844,31.0926,-97.386
1614,LOUETTA ROAD,SPRING,TX,77388,1614 LOUETTA ROAD,SPEC'S WINE SPIRITS AND FINER FOODS SPEC'S LIQUORS #28,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,30.0656701,-95.4386285,30.0658,-95.4386
8830,CLAY ROAD,HOUSTON,TX,77080,8830 CLAY ROAD,SPEC'S WINE SPIRITS AND FINER FOODS SPEC'S WHOLESALE LIQ,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Harris,SPECS,29.835924,-95.5095625,29.8359,-95.5094
14623,IH 35,LIVE OAK,TX,78233,14623 IH 35,SPEC'S WINE SPIRITS AND FINER FOODS SPF DISTRIBUTION SPEC'S #69,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Bexar,SPECS,29.55553279,-98.36176954,29.5713,-98.3302
6927,FM 1960W SUITE F,HOUSTON,TX,77069,6927 FM 1960W SUITE F,SPEC'S WINE SPIRITS FINER FOODS & CIGARS SPEC'S #72,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Harris,SPECS,29.98572088,-95.52437826,29.9684,-95.5327
5720,NEW TERRITORY BOULEVARD,SUGAR LAND,TX,77479,5720 NEW TERRITORY BOULEVARD,"SPEC'S WINE, SPIRITS & FINER FOODS #101, SPEC'S LIQUOR #101, SFP",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Fort Bend,SPECS,29.59075217,-95.67562746,29.5889,-95.6769
4102,FM 762,ROSENBERG,TX,77469,4102 FM 762,"SPEC'S WINE, SPIRITS & FINER FOODS, SPEC'S LIQUOR #39 SFP DISTRI",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Fort Bend,SPECS,29.5431014,-95.7449887,29.5431014,-95.7449887
5930,W PARK BOULEVARD SUITE 1400,PLANO,TX,75093,5930 W PARK BOULEVARD SUITE 1400,"SPEC'S WINES & BEERS, SFP, LTD., SPEC'S WINES #151, SPEC'S WINES",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Collin,SPECS,33.0270306,-96.8268203,33.0270306,-96.8268203
510,BARNES DRIVE,SAN MARCOS,TX,78666,510 BARNES DRIVE,SPEC'S WINES & SPIRITS SPEC'S LIQUOR #114 SFP DISTRIBUTION,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Hays,SPECS,29.84931869,-97.96442704,29.8487,-97.9679
207,IH 45 SOUTH,HUNTSVILLE,TX,77340,207 IH 45 SOUTH,SPEC'S WINES & SPIRITS SPEC'S LIQUOR #44 SFP DISTRIBUTION,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Walker,SPECS,30.64368651,-95.53985456,30.7111,-95.5663
2036,N ZARAGOZA ROAD BUILDING C,EL PASO,TX,79938,2036 N ZARAGOZA ROAD BUILDING C,SPEC'S WINES & SPIRITS SPEC'S LIQUORS #84 COWTOWN LIQUORS,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,El Paso,SPECS,31.76961498,-106.2594169,31.76961498,-106.2594169
15055,INWOOD ROAD,ADDISON,TX,75001,15055 INWOOD ROAD,SPEC'S WINES & SPIRITS SPEC'S WINES SPIRITS & BEERS SPEC'S LIQUO,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Dallas,SPECS,32.95221747,-96.83007808,32.9537,-96.8312
196,S GULF FREEWAY,LEAGUE CITY,TX,775733563,196 S GULF FREEWAY,SPEC'S WINES & SPIRITS SPEC'S WINES SPIRITS & FINER,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Galveston,SPECS,29.50176315,-95.11274774,29.5024,-95.1109
1011,WESTHEIMER,HOUSTON,TX,77006,1011 WESTHEIMER,"SPEC'S WINES & SPIRITS, SPEC'S LIQUOR #24, SFP DISTRIBUTION",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Harris,SPECS,29.74458007,-95.3918622,29.74458007,-95.3918622
8945,HWY 6 NORTH,HOUSTON,TX,77095,8945 HWY 6 NORTH,SPEC'S WINES AND SPIRITS SPEC'S #9 SPEC'S LIQUOR #9,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,29.90825054,-95.6302876,29.9089,-95.6311
2416,S STEMMONS FREEWAY,LEWISVILLE,TX,75067,2416 S STEMMONS FREEWAY,SPEC'S WINES AND SPIRITS SPEC'S LIQUOR #167 SFP DISTRIBUTION,SPEC'S FAMILY PARTNERS LTD.,832-660-0250,Denton ,SPECS,33.00648691,-96.97037654,33.0068,-96.9682
4126,S CARRIER PARKWAY SUITE 100,GRAND PRAIRIE,TX,75050,4126 S CARRIER PARKWAY SUITE 100,SPEC'S WINES SPIRITS  & FINER FOODS SPEC'S LIQUOR #191 SFP DISTR,SPEC'S FAMILY PARTNERS LTD.,,Dallas,SPECS,32.67136438,-97.00587416,32.67136438,-97.00587416
2401,PARKER ROAD,HEBRON,TX,75010,2401 PARKER ROAD,SPEC'S WINES SPIRITS & CIGARS SPEC'S LIQUORS #159,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Denton ,SPECS,33.04507677,-96.86328601,33.0451,-96.8632
9430,HWY 6 SOUTH,HOUSTON,TX,77083,9430 HWY 6 SOUTH,SPEC'S WINES SPIRITS & CIGARS/ SPEC'S WINES SPIRITS & FINER FOOD,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Fort Bend,SPECS,29.6759892,-95.64355094,29.6762,-95.6447
22508,HWY 249,HOUSTON,TX,77070,22508 HWY 249,SPEC'S WINES SPIRITS & FINER FOODS #56 SPEC'S LIQUORS WINES,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,29.9777277,-95.57315362,29.9777277,-95.57315362
201,UNIVERSITY OAKS BOULEVARD,ROUND ROCK,TX,78664,201 UNIVERSITY OAKS BOULEVARD,SPEC'S WINES SPIRITS & FINER FOODS #63 SPEC'S WHOLESALE LIQUOR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Williamson,SPECS,30.5549918,-97.6884048,30.5549918,-97.6884048
10515,N MOPAC EXPRESSWAY BUILDING K,AUSTIN,TX,78735,10515 N MOPAC EXPRESSWAY BUILDING K,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S #62 WHOLESALE WINE,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Travis,SPECS,30.3916054,-97.7324432,30.3916054,-97.7324432
1839,N CENTRAL EXPRESSWAY,ALLEN,TX,75013,1839 N CENTRAL EXPRESSWAY,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #017 SFP,SPEC'S FAMILY PARTNERS LTD.,,Collin,SPECS,33.11453816,-96.69410268,33.11453816,-96.69410268
19210,W BELLFORT STREET,RICHMOND,TX,77407,19210 W BELLFORT STREET,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #092 SFP,SPEC'S FAMILY PARTNERS LTD.,,Fort Bend,SPECS,29.6765503,-95.71251783,29.6765503,-95.71251783
6816,SLIDE ROAD SUITE 12,LUBBOCK,TX,79424-1535,6816 SLIDE ROAD SUITE 12,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #107 SFP LTD.,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Lubbock,SPECS,33.531718,-101.9242519,33.531718,-101.9242519
3404,N CENTRAL EXPRESSWAY #100,PLANO,TX,75074,3404 N CENTRAL EXPRESSWAY #100,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #141 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Collin,SPECS,33.0416185,-96.7003338,33.0416185,-96.7003338
3606,LOY LAKE ROAD,SHERMAN,TX,75090,3606 LOY LAKE ROAD,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #143,SPEC'S FAMILY PARTNERS LTD.,,Grayson,SPECS,33.6755987,-96.6072033,33.6755987,-96.6072033
2750,S HULEN STREET,FORT WORTH,TX,76109,2750 S HULEN STREET,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #154 SFP LTD.,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Tarrant,SPECS,32.7116352,-97.3867039,32.7116352,-97.3867039
9034,SIENNA CROSSING DRIVE,MISSOURI CITY,TX,77459,9034 SIENNA CROSSING DRIVE,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #176 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Fort Bend,SPECS,29.52571355,-95.53301008,29.52571355,-95.53301008
2700,HWY 83W BUILDING 200 SUITE 200,MCALLEN,TX,78501,2700 HWY 83W BUILDING 200 SUITE 200,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #177 SPF DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Hidalgo,SPECS,26.21580227,-98.23916652,26.21580227,-98.23916652
13530,RONALD REAGAN BOULEVARD,CEDAR PARK,TX,78613,13530 RONALD REAGAN BOULEVARD,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #179 SFP,SPEC'S FAMILY PARTNERS LTD.,,Williamson,SPECS,30.53711,-97.7830385,30.53711,-97.7830385
24527,GOSLING ROAD SUITE C101,SPRING,TX,77389,24527 GOSLING ROAD SUITE C101,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #186 SFP,SPEC'S FAMILY PARTNERS LTD.,,Harris,SPECS,30.1220879,-95.5069306,30.1220879,-95.5069306
535,AMERICAN WAY,TERRELL,TX,75160,535 AMERICAN WAY,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #187 SFP,SPEC'S FAMILY PARTNERS LTD.,,Kaufman,SPECS,32.76167423,-96.30015544,32.76167423,-96.30015544
2003,LOOP 1604 NORTH EAST SUITE 111,SAN ANTONIO,TX,78232,2003 LOOP 1604 NORTH EAST SUITE 111,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #188 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Bexar,SPECS,29.58814141,-98.4748343,29.58814141,-98.4748343
9733,BUFFALO SPEEDWAY,HOUSTON,TX,77025,9733 BUFFALO SPEEDWAY,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #189,SPEC'S FAMILY PARTNERS LTD.,,Harris,SPECS,29.68029969,-95.42639895,29.68029969,-95.42639895
23611,HWY 59 SUITE 500,PORTER,TX,77365,23611 HWY 59 SUITE 500,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #192 SFP DISTRI,SPEC'S FAMILY PARTNERS LTD.,,Montgomery,SPECS,30.11098557,-95.2340197,30.11098557,-95.2340197
1113,E AUSTIN STREET,GIDDINGS,TX,78942,1113 E AUSTIN STREET,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #193,SPEC'S FAMILY PARTNERS LTD.,,Lee,SPECS,30.18098445,-96.92622572,30.18098445,-96.92622572
2500,E CENTRAL TEXAS EXPRESSWAY,KILLEEN,TX,76543,2500 E CENTRAL TEXAS EXPRESSWAY,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR #75,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bell,SPECS,31.08805706,-97.72001239,31.08805706,-97.72001239
17414,NW FREEWAY,JERSEY VILLAGE,TX,77040,17414 NW FREEWAY,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUOR STORE #19 SFP,SPEC'S FAMILY PARTNERS LTD.,713-983-8827,Harris,SPECS,29.87441983,-95.52782052,29.87441983,-95.52782052
5219,DEZAVALA ROAD #100,SAN ANTONIO,TX,78249,5219 DEZAVALA ROAD #100,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #100,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bexar,SPECS,29.56360715,-98.58983266,29.56360715,-98.58983266
24417,KATY FREEWAY,KATY,TX,77494,24417 KATY FREEWAY,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #139 SFP,SPEC'S FAMILY PARTNERS LTD.,,Harris,SPECS,29.74327083,-95.82859727,29.74327083,-95.82859727
24940,FM 1093,RICHMOND,TX,77406,24940 FM 1093,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #140 SFP DISTR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Fort Bend,SPECS,29.6435502,-95.79798188,29.6435502,-95.79798188
4720,BRYANT IRVIN ROAD,FORT WORTH,TX,76132,4720 BRYANT IRVIN ROAD,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #160 SFP,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Tarrant,SPECS,32.6801381,-97.416086,32.6801381,-97.416086
14650,WOODFOREST BOULEVARD,HOUSTON,TX,770153144,14650 WOODFOREST BOULEVARD,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #20 SFP,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,29.79054764,-95.16202175,29.7894,-95.1624
5775,AIRPORT BOULEVARD SUITE 100,AUSTIN,TX,78752,5775 AIRPORT BOULEVARD SUITE 100,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #60 SFP,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Travis,SPECS,30.322172,-97.7138249,30.322172,-97.7138249
1640,S MASON ROAD,KATY,TX,774504563,1640 S MASON ROAD,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #8 CHEAP CHEEP,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,29.75897903,-95.75168507,29.75897903,-95.75168507
655,SUNLAND PARK SUITE F,EL PASO,TX,79912,655 SUNLAND PARK SUITE F,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS #94,SPEC'S FAMILY PARTNERS LTD.,832-660-0250,El Paso,SPECS,31.81987962,-106.5405316,31.81987962,-106.5405316
263,CREEKSIDE CROSSING,NEW BRAUNFELS,TX,78130,263 CREEKSIDE CROSSING,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS & BEERS #106,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Comal,SPECS,29.7247594,-98.0742153,29.7247594,-98.0742153
1013,W UNIVERSITY AVENUE '200',GEORGETOWN,TX,78628,1013 W UNIVERSITY AVENUE '200',SPEC'S WINES SPIRITS & FINER FOODS SPEC'S LIQUORS GEORGETOWN,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Williamson,SPECS,30.6313662,-97.6938364,30.6313662,-97.6938364
17996,FM 529,CYPRESS,TX,77095,17996 FM 529,SPEC'S WINES SPIRITS & FINER FOODS SPEC'S WINES & SPIRITS SPEC'S,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Harris,SPECS,29.8805167,-95.6827978,29.8806,-95.6828
7034,FM 1960 EAST,HUMBLE,TX,77346,7034 FM 1960 EAST,SPEC'S WINES SPIRITS & FINER FOODS/ SPEC'S CIGARS/SPEC'S LIQUOR,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,29.99830376,-95.1744796,29.99830376,-95.1744796
5130,RICHMOND AVENUE,HOUSTON,TX,77056,5130 RICHMOND AVENUE,SPEC'S WINES SPIRITS & FINER FOODS/ SPEC'S WINES SPIRITS & CIGAR,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,SPECS,29.73178103,-95.46496821,29.73178103,-95.46496821
5876,EASTEX FREEWAY,BEAUMONT,TX,77708,5876 EASTEX FREEWAY,SPEC'S WINES SPIRITS & FINER FOODS/AJ'S DISCOUNT LIQUOR,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Jefferson,SPECS,30.12662214,-94.1558657,30.12662214,-94.1558657
5108,N NAVARRO STREET,VICTORIA,TX,77904,5108 N NAVARRO STREET,SPEC'S WINES SPIRITS AND FINER FOODS & CIGARS SPEC'S LIQUORS #67,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Victoria,SPECS,28.84275589,-96.99951908,28.84275589,-96.99951908
13015,SHOPS PARKWAY,BEE CAVE,TX,78738,13015 SHOPS PARKWAY,SPEC'S WINES SPIRITS AND FINER FOODS SPEC'S IN BEE CAVE #65,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8781,Travis,SPECS,30.3075926,-97.9459133,30.3075926,-97.9459133
1420,LOOP 336 WEST #100,CONROE,TX,77304,1420 LOOP 336 WEST #100,SPEC'S WINES SPIRITS CIGARS & FINER FOOD SPEC'S WINES SPIRITS &,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Montgomery,SPECS,30.32952176,-95.51412277,30.32952176,-95.51412277
5418,HWY 6S #116,MISSOURI CITY,TX,77459,5418 HWY 6S #116,SPEC'S WINES SPIRITS-RIVERSTONE SPEC'S LIQUORS #47,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Fort Bend,SPECS,29.52571355,-95.53301008,29.52571355,-95.53301008
11751,BANDERA ROAD,SAN ANTONIO,TX,78250,11751 BANDERA ROAD,"SPEC'S WINES, SPIRITS & FINER FOODS, SPEC'S LIQUORS #113, SFP",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Bexar,SPECS,29.5495494,-98.6694922,29.5495494,-98.6694922
4970,HWY 290W BUILDING 6 UNIT,AUSTIN,TX,78735,4970 HWY 290W BUILDING 6 UNIT,"SPEC'S WINES, SPIRITS & FINER FOODS, SPEC'S ON BRODIE, SPEC'S",SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Travis,SPECS,30.26591098,-97.8665976,30.2346,-97.8185
1434,S VALLEY MILLS DRIVE,BEVERLY HILLS,TX,76711,1434 S VALLEY MILLS DRIVE,SPECS WINE SPIRITS & FINER FOODS SPEC'S #73 & BAD BEAR LIQUOR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,McLennan,SPECS,31.5260685,-97.1439343,31.526,-97.1439
166,HARGRAVES SUITE B-400,AUSTIN,TX,78737,166 HARGRAVES SUITE B-400,SPECS WINE SPIRITS & FINER FOODS SPECS LIQUOR #027,SPEC'S FAMILY PARTNERS LTD.,832-660-0250,Hays,SPECS,30.18748052,-97.95972131,30.2044,-97.9789
6603,SPRING STUEBNER ROAD SUITE 135,SPRING,TX,77389,6603 SPRING STUEBNER ROAD SUITE 135,"SPECS WINES, SPIRITS & FINER FOODS, SPEC'S LIQUOR #89 SFP",SFP DISTRIBUTION LLC,,Harris,SPECS,30.11528294,-95.50760887,30.11528294,-95.50760887
8108,MARTIN LUTHER KING BOULEVARD,HOUSTON,TX,77033,8108 MARTIN LUTHER KING BOULEVARD,SPECY LIQUOR,"PHAM, GINA",713-738-4821,Harris,,29.6656967,-95.3376481,29.6656967,-95.3376481
7412,HWY 78,SACHSE,TX,75048,7412 HWY 78,SPEEDY LIQUOR,JASON & SAI CORP.,,Collin,,32.97201789,-96.58087959,32.97201789,-96.58087959
6769,SPENCER HWY,PASADENA,TX,77505,6769 SPENCER HWY,SPENCER DISCOUNT LIQUOR & TOBACCO,BAY AREA LIQUORS INC.,281-479-1774,Harris,,29.66355581,-95.13489719,29.66355581,-95.13489719
4617,S WESTERN STREET,AMARILLO,TX,79109-6013,4617 S WESTERN STREET,SPIRIT EMPORIUM,SPIRIT EMPORIUM INCORPORATED,806-355-0722,Randall,,35.1602222,-101.8833465,35.1602222,-101.8833465
37129,FM 1774 SUITE A,PINEHURST,TX,77362,37129 FM 1774 SUITE A,SPIRIT OUTLET LIQUOR,KHALIL CHILDREN 2002 GIFT TRUST,832-934-2759,Montgomery,,30.15819165,-95.66847978,30.15819165,-95.66847978
10601,FM 2222 SUITE F,AUSTIN,TX,78730,10601 FM 2222 SUITE F,SPIRIT WINE & LIQUOR,HI-BARR LLC,512-704-6800,Travis,,30.3931208,-97.8439719,30.3931208,-97.8439719
11215,IH 35S #108,AUSTIN,TX,78747,11215 IH 35S #108,SPIRIT WINE & LIQUOR,HI-BARR LLC,512-704-6800,Travis,,30.12653312,-97.740151,30.12653312,-97.740151
1551,IH 35 SOUTH,GLENN HEIGHTS,TX,75154,1551 IH 35 SOUTH,SPIRITS DEPOT,GLENN HEIGHTS INVESTMENTS INC.,972-274-1080,Dallas,,32.52277633,-96.81010742,32.52277633,-96.81010742
6285,HWY 6 SOUTH,HOUSTON,TX,77083,6285 HWY 6 SOUTH,SPIRITS LIQUOR,6285 CN CORPORATION,281-530-3004,Harris,,29.70959144,-95.64403937,29.70959144,-95.64403937
2503,HWY 16 NORTH SUITE B,STRAWN,TX,76475-9999,2503 HWY 16 NORTH SUITE B,SPIRITS OF HELLS GATE,THE STRAWN STORE INC.,,Palo Pinto,,32.65905839,-98.4988811,32.65905839,-98.4988811
1107,CYPRESS STREET,BANDERA,TX,78003,1107 CYPRESS STREET,SPIRITS OF TEXAS,COWBOY HAVEN LLC,936-366-9015,Bandera,,29.72375252,-99.07163207,29.72375252,-99.07163207
11334,HWY 287 WEST,PENNINGTON,TX,75856,11334 HWY 287 WEST,SPITFIRE LIQUOR STORE,LUCKY NAVID CORPORATION,(936) 638-2027,Trinity,,31.20658696,-95.27891021,31.20658696,-95.27891021
115,LITTLE YORK,HOUSTON,TX,77076,115 LITTLE YORK,SPORTSMAN LIQUOR,RADHE ENTERPRISE INC.,713-699-0316,Harris,,29.8694205,-95.3994119,29.8694205,-95.3994119
499,W CHAPMAN DRIVE SUITE 102,SANGER,TX,76266,499 W CHAPMAN DRIVE SUITE 102,SPORTSMAN LIQUOR,SPORTSMAN INDUSTRY INC.,817-266-6663,Denton ,,33.36719239,-97.17363614,33.3673,-97.1735
17590,KUYKENDAHL ROAD,SPRING,TX,77379,17590 KUYKENDAHL ROAD,SPRING DISCOUNT LIQUOR,SHLN CORPORATION,281-353-6279,Harris,,30.02877784,-95.47934888,30.02877784,-95.47934888
3410,FM 2920 SUITE 100,SPRING,TX,77388,3410 FM 2920 SUITE 100,SPRING LIQUOR MEADOWHILL,C-GARCIA SPIRITS LLC,281-288-2750,Harris,,30.0710308,-95.4698716,30.0710308,-95.4698716
2323,N MAIN STREET,JUNCTION,TX,76849,2323 N MAIN STREET,SPURS LIQUOR,D & D MURRAH LLC,325-660-8871,Kimble,,30.50331291,-99.77834693,30.50331291,-99.77834693
1701,S BRAHMA BOULEVARD SUITE D,KINGSVILLE,TX,78363-6877,1701 S BRAHMA BOULEVARD SUITE D,SQUIRRELY'S LIQUOR,SQUIRRELY'S LIQUOR LLC,361-595-1818,Kleberg,,27.50152541,-97.85601115,27.50152541,-97.85601115
10566,W UNIVERSITY BOULEVARD,ODESSA,TX,79764-9001,10566 W UNIVERSITY BOULEVARD,SS LIQUOR,MS LIQUOR INC.,432-381-0455,Ector,,31.84132162,-102.4999826,31.84132162,-102.4999826
3807,FM 1765,LA MARQUE,TX,77568,3807 FM 1765,STACKS LIQUOR,"MCKINNEY, FELICIA FAY",409-935-2788,Galveston,,29.3782488,-94.9993548,29.3782488,-94.9993548
831,E STANFORD STREET,ARLINGTON,TX,76011,831 E STANFORD STREET,STADIUM LIQUOR,MILY HOLDING LLC,817-275-3124,Tarrant,,32.75424071,-97.0825657,32.75424071,-97.0825657
2520,TEXOMA PARKWAY,SHERMAN,TX,75090,2520 TEXOMA PARKWAY,STAR LIQUOR,LAMAR LIQUOR LLC,469-734-1265,Grayson,,33.6665315,-96.596709,33.6664,-96.5964
4340,HARRY HINES BOULEVARD SUITE B,DALLAS,TX,75219,4340 HARRY HINES BOULEVARD SUITE B,STAR LIQUOR,STAR LIQUOR INC,,Dallas,,32.8057,-96.8253,32.8057,-96.8253
